 -Devices.Illumination@372f7a8d| Electricity:0| Water:0| Money:0
 -Devices.Blinds@2f92e0f4| Electricity:0| Water:0| Money:0
 -Devices.Heater@28a418fc| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@5305068a| Electricity:1050| Water:0| Money:0
 -Devices.Fridge@1f32e575| Electricity:0| Water:0| Money:0
 -Devices.Microwave@279f2327| Electricity:0| Water:0| Money:0
 -Devices.Plate@2ff4acd0| Electricity:210| Water:0| Money:0
 -Devices.Teapot@54bedef2| Electricity:20| Water:10| Money:0
 -Devices.Illumination@5caf905d| Electricity:0| Water:0| Money:0
 -Devices.Blinds@27716f4| Electricity:0| Water:0| Money:0
 -Devices.Heater@8efb846| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@2a84aee7| Electricity:1050| Water:0| Money:0
 -Devices.Computer@a09ee92| Electricity:160| Water:0| Money:0
 -Devices.Illumination@30f39991| Electricity:0| Water:0| Money:0
 -Devices.Blinds@452b3a41| Electricity:0| Water:0| Money:0
 -Devices.Heater@4a574795| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@f6f4d33| Electricity:1050| Water:0| Money:0
 -Devices.Computer@23fc625e| Electricity:160| Water:0| Money:0
 -Devices.Illumination@3f99bd52| Electricity:0| Water:0| Money:0
 -Devices.Blinds@4f023edb| Electricity:0| Water:0| Money:0
 -Devices.Heater@3a71f4dd| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@7adf9f5f| Electricity:1050| Water:0| Money:0
 -Devices.Computer@85ede7b| Electricity:160| Water:0| Money:0
 -Devices.Illumination@5674cd4d| Electricity:0| Water:0| Money:0
 -Devices.Blinds@63961c42| Electricity:0| Water:0| Money:0
 -Devices.Heater@65b54208| Electricity:0| Water:0| Money:0
 -Devices.Conditioning@1be6f5c3| Electricity:1050| Water:0| Money:0
 -Devices.Fridge@6b884d57| Electricity:0| Water:0| Money:5000
 -Devices.Microwave@38af3868| Electricity:0| Water:0| Money:5000
 -Devices.Plate@77459877| Electricity:210| Water:0| Money:0
 -Devices.Teapot@5b2133b1| Electricity:20| Water:10| Money:0
 -Devices.Illumination@72ea2f77| Electricity:0| Water:0| Money:0
