 -Devices.Illumination@1f32e575| Electricity:160| Water:0| Money:0
 -Devices.Blinds@279f2327| Electricity:80| Water:0| Money:0
 -Devices.Heater@27716f4| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@54bedef2| Electricity:700| Water:0| Money:0
 -Devices.Computer@5f184fc6| Electricity:120| Water:0| Money:0
 -Devices.Illumination@2a84aee7| Electricity:160| Water:0| Money:0
 -Devices.Blinds@a09ee92| Electricity:80| Water:0| Money:0
 -Devices.Heater@452b3a41| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@30f39991| Electricity:700| Water:0| Money:0
 -Devices.Computer@3feba861| Electricity:120| Water:0| Money:0
 -Devices.Illumination@4a574795| Electricity:160| Water:0| Money:0
 -Devices.Blinds@f6f4d33| Electricity:80| Water:0| Money:0
 -Devices.Heater@3f99bd52| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@23fc625e| Electricity:700| Water:0| Money:0
 -Devices.Fridge@5b480cf9| Electricity:200| Water:0| Money:0
 -Devices.Microwave@6f496d9f| Electricity:100| Water:0| Money:0
 -Devices.Plate@723279cf| Electricity:140| Water:0| Money:0
 -Devices.Teapot@4f023edb| Electricity:40| Water:20| Money:0
 -Devices.Illumination@85ede7b| Electricity:160| Water:0| Money:0
 -Devices.Blinds@5674cd4d| Electricity:80| Water:0| Money:0
 -Devices.Heater@65b54208| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@63961c42| Electricity:700| Water:0| Money:0
 -Devices.Computer@10f87f48| Electricity:120| Water:0| Money:0
 -Devices.Illumination@6b884d57| Electricity:160| Water:0| Money:0
 -Devices.Blinds@38af3868| Electricity:80| Water:0| Money:0
 -Devices.Heater@5b2133b1| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@77459877| Electricity:700| Water:0| Money:0
 -Devices.Fridge@b4c966a| Electricity:200| Water:0| Money:0
 -Devices.Microwave@2f4d3709| Electricity:100| Water:0| Money:0
 -Devices.Plate@4e50df2e| Electricity:140| Water:0| Money:0
 -Devices.Teapot@72ea2f77| Electricity:40| Water:20| Money:0
 -Devices.Illumination@33c7353a| Electricity:160| Water:0| Money:0
 -Devices.Blinds@681a9515| Electricity:80| Water:0| Money:0
 -Devices.Heater@19469ea2| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@3af49f1c| Electricity:700| Water:0| Money:0
 -Devices.Computer@13221655| Electricity:120| Water:0| Money:0
 -Devices.Illumination@2f2c9b19| Electricity:160| Water:0| Money:0
 -Devices.Blinds@31befd9f| Electricity:80| Water:0| Money:0
 -Devices.Heater@1fb3ebeb| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@1c20c684| Electricity:700| Water:0| Money:0
 -Devices.Fridge@548c4f57| Electricity:200| Water:0| Money:0
 -Devices.Microwave@1d81eb93| Electricity:100| Water:0| Money:0
 -Devices.Plate@1218025c| Electricity:140| Water:0| Money:0
 -Devices.Teapot@7291c18f| Electricity:40| Water:20| Money:0
 -Devices.Illumination@3e3abc88| Electricity:160| Water:0| Money:0
 -Devices.Blinds@6ce253f1| Electricity:80| Water:0| Money:0
 -Devices.Heater@e9e54c2| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@53d8d10a| Electricity:700| Water:0| Money:0
 -Devices.Fridge@65ab7765| Electricity:200| Water:0| Money:5000
 -Devices.Microwave@1b28cdfa| Electricity:100| Water:0| Money:5000
 -Devices.Plate@34a245ab| Electricity:140| Water:0| Money:0
 -Devices.Teapot@7cc355be| Electricity:40| Water:20| Money:0
 -Devices.Illumination@7229724f| Electricity:160| Water:0| Money:0
 -Devices.Blinds@4c873330| Electricity:80| Water:0| Money:0
 -Devices.Heater@776ec8df| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@119d7047| Electricity:700| Water:0| Money:0
 -Devices.Fridge@4eec7777| Electricity:200| Water:0| Money:5000
 -Devices.Microwave@6e8cf4c6| Electricity:100| Water:0| Money:0
 -Devices.Plate@3b07d329| Electricity:140| Water:0| Money:0
 -Devices.Teapot@12edcd21| Electricity:40| Water:20| Money:0
 -Devices.Illumination@34c45dca| Electricity:160| Water:0| Money:0
 -Devices.Blinds@52cc8049| Electricity:80| Water:0| Money:0
 -Devices.Heater@5b6f7412| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@27973e9b| Electricity:700| Water:0| Money:0
 -Devices.Computer@312b1dae| Electricity:120| Water:0| Money:0
 -Devices.Illumination@7530d0a| Electricity:160| Water:0| Money:0
 -Devices.Blinds@27bc2616| Electricity:80| Water:0| Money:0
 -Devices.Heater@3941a79c| Electricity:450| Water:0| Money:0
 -Devices.Conditioning@506e1b77| Electricity:700| Water:0| Money:0
