 -Devices.Illumination@330bedb4| Electricity:520| Water:0| Money:0
 -Devices.Blinds@2503dbd3| Electricity:260| Water:0| Money:0
 -Devices.Heater@7ea987ac| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@4b67cf4d| Electricity:980| Water:0| Money:0
 -Devices.Computer@37a71e93| Electricity:280| Water:0| Money:0
 -Devices.Illumination@29453f44| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5cad8086| Electricity:260| Water:0| Money:0
 -Devices.Heater@61bbe9ba| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@6e0be858| Electricity:980| Water:0| Money:0
 -Devices.Computer@511d50c0| Electricity:280| Water:0| Money:0
 -Devices.Illumination@60e53b93| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5e2de80c| Electricity:260| Water:0| Money:0
 -Devices.Heater@266474c2| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@1d44bcfa| Electricity:980| Water:0| Money:0
 -Devices.Computer@5e481248| Electricity:280| Water:0| Money:0
 -Devices.Illumination@66d3c617| Electricity:520| Water:0| Money:0
 -Devices.Blinds@63947c6b| Electricity:260| Water:0| Money:0
 -Devices.Heater@355da254| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2b193f2d| Electricity:980| Water:0| Money:0
 -Devices.Computer@7e6cbb7a| Electricity:280| Water:0| Money:0
 -Devices.Illumination@d716361| Electricity:520| Water:0| Money:0
 -Devices.Blinds@6ff3c5b5| Electricity:260| Water:0| Money:0
 -Devices.Heater@4b1210ee| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@3764951d| Electricity:980| Water:0| Money:0
 -Devices.Computer@3cd1a2f1| Electricity:280| Water:0| Money:0
 -Devices.Illumination@2f0e140b| Electricity:520| Water:0| Money:0
 -Devices.Blinds@7440e464| Electricity:260| Water:0| Money:0
 -Devices.Heater@78308db1| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@49476842| Electricity:980| Water:0| Money:0
 -Devices.Fridge@27c170f0| Electricity:350| Water:0| Money:5000
 -Devices.Microwave@7c3df479| Electricity:150| Water:0| Money:0
 -Devices.Plate@5451c3a8| Electricity:280| Water:0| Money:0
 -Devices.Teapot@7106e68e| Electricity:40| Water:20| Money:0
 -Devices.Illumination@2626b418| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5a07e868| Electricity:260| Water:0| Money:0
 -Devices.Heater@2c7b84de| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@76ed5528| Electricity:980| Water:0| Money:0
 -Devices.Computer@7eda2dbb| Electricity:280| Water:0| Money:0
 -Devices.Illumination@5acf9800| Electricity:520| Water:0| Money:0
 -Devices.Blinds@4617c264| Electricity:260| Water:0| Money:0
 -Devices.Heater@7a81197d| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@36baf30c| Electricity:980| Water:0| Money:0
 -Devices.Computer@6576fe71| Electricity:280| Water:0| Money:0
 -Devices.Illumination@24d46ca6| Electricity:520| Water:0| Money:0
 -Devices.Blinds@4517d9a3| Electricity:260| Water:0| Money:0
 -Devices.Heater@2f92e0f4| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@372f7a8d| Electricity:980| Water:0| Money:0
 -Devices.Fridge@28a418fc| Electricity:350| Water:0| Money:5000
 -Devices.Microwave@5305068a| Electricity:150| Water:0| Money:0
 -Devices.Plate@76fb509a| Electricity:280| Water:0| Money:0
 -Devices.Teapot@300ffa5d| Electricity:40| Water:20| Money:0
 -Devices.Illumination@1f32e575| Electricity:520| Water:0| Money:0
 -Devices.Blinds@279f2327| Electricity:260| Water:0| Money:0
 -Devices.Heater@54bedef2| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2ff4acd0| Electricity:980| Water:0| Money:0
 -Devices.Fridge@5caf905d| Electricity:350| Water:0| Money:5000
 -Devices.Microwave@27716f4| Electricity:150| Water:0| Money:5000
 -Devices.Plate@1f17ae12| Electricity:280| Water:0| Money:0
 -Devices.Teapot@4d405ef7| Electricity:40| Water:20| Money:0
 -Devices.Illumination@8efb846| Electricity:520| Water:0| Money:0
 -Devices.Blinds@2a84aee7| Electricity:260| Water:0| Money:0
 -Devices.Heater@30f39991| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@a09ee92| Electricity:980| Water:0| Money:0
 -Devices.Computer@4a574795| Electricity:280| Water:0| Money:0
 -Devices.Illumination@f6f4d33| Electricity:520| Water:0| Money:0
 -Devices.Blinds@23fc625e| Electricity:260| Water:0| Money:0
 -Devices.Heater@4f023edb| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@3f99bd52| Electricity:980| Water:0| Money:0
 -Devices.Fridge@3a71f4dd| Electricity:350| Water:0| Money:5000
 -Devices.Microwave@6193b845| Electricity:150| Water:0| Money:0
 -Devices.Plate@7adf9f5f| Electricity:280| Water:0| Money:0
 -Devices.Teapot@2e817b38| Electricity:40| Water:20| Money:0
 -Devices.Illumination@85ede7b| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5674cd4d| Electricity:260| Water:0| Money:0
 -Devices.Heater@65b54208| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@63961c42| Electricity:980| Water:0| Money:0
 -Devices.Fridge@c4437c4| Electricity:350| Water:0| Money:0
 -Devices.Microwave@433c675d| Electricity:150| Water:0| Money:0
 -Devices.Plate@3f91beef| Electricity:280| Water:0| Money:0
 -Devices.Teapot@1be6f5c3| Electricity:40| Water:20| Money:0
 -Devices.Illumination@6b884d57| Electricity:520| Water:0| Money:0
 -Devices.Blinds@38af3868| Electricity:260| Water:0| Money:0
 -Devices.Heater@5b2133b1| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@77459877| Electricity:980| Water:0| Money:0
 -Devices.Fridge@72ea2f77| Electricity:350| Water:0| Money:0
 -Devices.Microwave@1a6c5a9e| Electricity:150| Water:0| Money:0
 -Devices.Plate@33c7353a| Electricity:280| Water:0| Money:0
 -Devices.Teapot@37bba400| Electricity:40| Water:20| Money:0
 -Devices.Illumination@3af49f1c| Electricity:520| Water:0| Money:0
 -Devices.Blinds@19469ea2| Electricity:260| Water:0| Money:0
 -Devices.Heater@2f2c9b19| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@13221655| Electricity:980| Water:0| Money:0
 -Devices.Computer@31befd9f| Electricity:280| Water:0| Money:0
 -Devices.Illumination@1c20c684| Electricity:520| Water:0| Money:0
 -Devices.Blinds@1fb3ebeb| Electricity:260| Water:0| Money:0
 -Devices.Heater@1218025c| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@548c4f57| Electricity:980| Water:0| Money:0
 -Devices.Fridge@179d3b25| Electricity:350| Water:0| Money:0
 -Devices.Microwave@254989ff| Electricity:150| Water:0| Money:0
 -Devices.Plate@5d099f62| Electricity:280| Water:0| Money:0
 -Devices.Teapot@816f27d| Electricity:40| Water:20| Money:0
 -Devices.Illumination@87aac27| Electricity:520| Water:0| Money:0
 -Devices.Blinds@3e3abc88| Electricity:260| Water:0| Money:0
 -Devices.Heater@53d8d10a| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@6ce253f1| Electricity:980| Water:0| Money:0
 -Devices.Fridge@e9e54c2| Electricity:350| Water:0| Money:5000
 -Devices.Microwave@65ab7765| Electricity:150| Water:0| Money:0
 -Devices.Plate@37f8bb67| Electricity:280| Water:0| Money:0
 -Devices.Teapot@49c2faae| Electricity:40| Water:20| Money:0
 -Devices.Illumination@eed1f14| Electricity:520| Water:0| Money:0
 -Devices.Blinds@7229724f| Electricity:260| Water:0| Money:0
 -Devices.Heater@119d7047| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@4c873330| Electricity:980| Water:0| Money:0
 -Devices.Computer@20ad9418| Electricity:280| Water:0| Money:0
 -Devices.Illumination@4eec7777| Electricity:520| Water:0| Money:0
 -Devices.Blinds@3b07d329| Electricity:260| Water:0| Money:0
 -Devices.Heater@404b9385| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@41629346| Electricity:980| Water:0| Money:0
 -Devices.Computer@6d311334| Electricity:280| Water:0| Money:0
 -Devices.Illumination@3d075dc0| Electricity:520| Water:0| Money:0
 -Devices.Blinds@214c265e| Electricity:260| Water:0| Money:0
 -Devices.Heater@7cca494b| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@448139f0| Electricity:980| Water:0| Money:0
 -Devices.Computer@31cefde0| Electricity:280| Water:0| Money:0
 -Devices.Illumination@7ba4f24f| Electricity:520| Water:0| Money:0
 -Devices.Blinds@3b9a45b3| Electricity:260| Water:0| Money:0
 -Devices.Heater@58372a00| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@7699a589| Electricity:980| Water:0| Money:0
 -Devices.Fridge@4dd8dc3| Electricity:350| Water:0| Money:0
 -Devices.Microwave@439f5b3d| Electricity:150| Water:0| Money:0
 -Devices.Plate@6d03e736| Electricity:280| Water:0| Money:0
 -Devices.Teapot@1d56ce6a| Electricity:40| Water:20| Money:0
 -Devices.Illumination@378bf509| Electricity:520| Water:0| Money:0
 -Devices.Blinds@5fd0d5ae| Electricity:260| Water:0| Money:0
 -Devices.Heater@16b98e56| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@2d98a335| Electricity:980| Water:0| Money:0
 -Devices.Computer@7ef20235| Electricity:280| Water:0| Money:0
 -Devices.Illumination@4f3f5b24| Electricity:520| Water:0| Money:0
 -Devices.Blinds@15aeb7ab| Electricity:260| Water:0| Money:0
 -Devices.Heater@6acbcfc0| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@7b23ec81| Electricity:980| Water:0| Money:0
 -Devices.Computer@5197848c| Electricity:280| Water:0| Money:0
 -Devices.Illumination@17f052a3| Electricity:520| Water:0| Money:0
 -Devices.Blinds@2e0fa5d3| Electricity:260| Water:0| Money:0
 -Devices.Heater@5010be6| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@685f4c2e| Electricity:980| Water:0| Money:0
 -Devices.Computer@7daf6ecc| Electricity:280| Water:0| Money:0
 -Devices.Illumination@2e5d6d97| Electricity:520| Water:0| Money:0
 -Devices.Blinds@238e0d81| Electricity:260| Water:0| Money:0
 -Devices.Heater@31221be2| Electricity:900| Water:0| Money:0
 -Devices.Conditioning@377dca04| Electricity:980| Water:0| Money:0
 -Devices.Fridge@728938a9| Electricity:350| Water:0| Money:0
 -Devices.Microwave@21b8d17c| Electricity:150| Water:0| Money:0
 -Devices.Plate@6433a2| Electricity:280| Water:0| Money:0
